"procs","size","total","sort","save","init","read","send","IO"
2,10000000,1.000000,0.626337,0.201328,0.061257,0.004355,0.166572,0.262584
2,100000000,1.000000,0.650674,0.224157,0.059736,0.003429,0.120158,0.283892
2,200000000,1.000000,0.668686,0.159128,0.072098,0.003654,0.166925,0.231226
4,10000000,1.000000,0.374589,0.380561,0.097913,0.005967,0.237418,0.478474
4,100000000,1.000000,0.539814,0.172182,0.112044,0.004512,0.281639,0.284227
4,200000000,1.000000,0.530418,0.169102,0.124970,0.004805,0.295120,0.294072
8,10000000,1.000000,0.268938,0.321463,0.173998,0.006569,0.399837,0.495461
8,100000000,1.000000,0.327203,0.197958,0.201215,0.005689,0.468122,0.399173
8,200000000,1.000000,0.379078,0.162889,0.193627,0.005692,0.451494,0.356516
16,10000000,1.000000,0.170963,0.144836,0.333399,0.011631,0.665050,0.478235
16,100000000,1.000000,0.157888,0.263666,0.285519,0.006125,0.571380,0.549185
16,200000000,1.000000,0.186577,0.209767,0.297710,0.006344,0.596461,0.507477
32,10000000,1.000000,0.067267,0.264503,0.382035,0.013297,0.652264,0.646538
32,100000000,1.000000,0.081711,0.330571,0.343537,0.004733,0.582263,0.674108
32,200000000,1.000000,0.102290,0.233145,0.368579,0.005328,0.658484,0.601724
64,10000000,1.000000,0.032889,0.258046,0.472997,0.006021,0.700508,0.731043
64,100000000,1.000000,0.058531,0.108054,0.584148,0.004932,0.827785,0.692202
64,200000000,1.000000,0.044263,0.196631,0.532671,0.004525,0.753595,0.729302
128,10000000,1.000000,0.016618,0.080006,0.707763,0.003668,0.897328,0.787769
128,100000000,1.000000,0.012557,0.276274,0.571902,0.002644,0.707980,0.848176
128,200000000,1.000000,0.014698,0.187075,0.645159,0.003064,0.794820,0.832235
