"procs" , "size"    , "total"   , "sort"    , "save"   , "init"    , "read"   , "send"   , "IO"
2       , 10000000  , 2.148589  , 1.329322  , 0.446462 , 0.138452  , 0.011051 , 0.230972 , 0.457513
2       , 100000000 , 21.388325 , 13.715294 , 5.052455 , 1.251224  , 0.067382 , 1.346666 , 5.119837
2       , 200000000 , 36.989818 , 24.375176 , 6.382831 , 2.621422  , 0.135026 , 3.579794 , 6.517857
4       , 10000000  , 1.854079  , 0.703482  , 0.689431 , 0.185141  , 0.011185 , 0.272491 , 0.700616
4       , 100000000 , 14.662842 , 8.170872  , 2.162598 , 1.686172  , 0.067971 , 2.618578 , 2.230569
4       , 200000000 , 27.535513 , 14.650789 , 4.599075 , 3.446991  , 0.129681 , 4.824926 , 4.728756
8       , 10000000  , 1.585789  , 0.372035  , 0.651239 , 0.242020  , 0.012546 , 0.315651 , 0.663785
8       , 100000000 , 11.401545 , 3.704629  , 2.319233 , 2.281364  , 0.067284 , 3.082428 , 2.386517
8       , 200000000 , 23.360451 , 8.892560  , 3.654483 , 4.629498  , 0.136781 , 6.164339 , 3.791264
16      , 10000000  , 1.026434  , 0.172070  , 0.168383 , 0.341155  , 0.017521 , 0.340391 , 0.185904
16      , 100000000 , 11.315433 , 1.774006  , 3.047387 , 3.207226  , 0.066692 , 3.277671 , 3.114079
16      , 200000000 , 21.193418 , 3.913000  , 4.632718 , 6.232561  , 0.131421 , 6.393795 , 4.764139
32      , 10000000  , 1.081793  , 0.086430  , 0.144730 , 0.483507  , 0.009439 , 0.363428 , 0.154169
32      , 100000000 , 11.003947 , 1.149074  , 1.608968 , 4.821805  , 0.068921 , 3.415177 , 1.677889
32      , 200000000 , 24.702475 , 2.635067  , 5.974453 , 9.509105  , 0.127698 , 6.559370 , 6.102151
64      , 10000000  , 1.580246  , 0.055387  , 0.339234 , 0.795968  , 0.017590 , 0.385250 , 0.356824
64      , 100000000 , 13.574712 , 0.626844  , 1.591619 , 7.966258  , 0.071126 , 3.371693 , 1.662745
64      , 200000000 , 26.741631 , 1.312693  , 2.971942 , 15.756555 , 0.130640 , 6.674599 , 3.102582
128     , 10000000  , 2.226394  , 0.034200  , 0.337010 , 1.455180  , 0.010128 , 0.395844 , 0.347138
128     , 100000000 , 23.246394 , 0.322027  , 4.889224 , 14.501871 , 0.067353 , 3.522364 , 4.956577
128     , 200000000 , 45.027526 , 0.627599  , 8.873118 , 28.718129 , 0.132599 , 6.796331 , 9.005717
